date,campaign_name,channel,region,impressions,clicks,signups,transactions,transaction_amount,campaign_cost,active_users,payment_type,customer_segment
2025-02-24,App Signup Bonus,YouTube,Dhaka,152853,7972,683,298,260959.64,15490.28,21185,Bill Pay,New User
2025-02-25,Cashback Offer,SMS,Rangpur,12167,954,201,147,71706.96,1170.01,6849,Merchant Payment,Student
2025-02-25,Merchant Payment Promo,Google Ads,Chattogram,43379,2654,535,365,166887.87,9439.71,12603,Mobile Recharge,Student
2025-02-25,Ramadan Campaign,Email,Khulna,15577,555,100,75,208212.28,651.86,6749,QR Payment,Premium User
2025-02-25,Eid Offer,SMS,Rajshahi,23662,2316,472,288,440780.22,1918.22,15126,Merchant Payment,New User
2025-02-26,Ramadan Campaign,YouTube,Mymensingh,8120,385,56,33,103903.62,2165.53,16135,Bill Pay,Premium User
2025-02-26,Merchant Payment Promo,Email,Chattogram,48752,2077,539,217,233722.52,2309.39,48293,Merchant Payment,New User
2025-02-26,App Signup Bonus,SMS,Dhaka,126111,9425,2161,1204,1269662.07,7140.16,54712,Mobile Recharge,Existing User
2025-02-26,Cashback Offer,SMS,Chattogram,138450,7651,2400,2320,3183415.25,8539.17,15803,Bill Pay,Merchant
2025-02-26,Bill Pay Campaign,Facebook,Mymensingh,48604,3185,555,363,305949.65,9623.05,2753,Bill Pay,Existing User
2025-02-26,Merchant Payment Promo,Email,Khulna,39689,198,22,21,17213.52,1853.92,31213,Bill Pay,Existing User
2025-02-26,Eid Offer,Google Ads,Rangpur,19106,687,157,69,51229.11,3336.4,23640,Bill Pay,Existing User
2025-02-26,Student Recharge Promo,Facebook,Sylhet,82886,4295,663,480,142441.75,15985.32,11007,Merchant Payment,Existing User
2025-02-26,Student Recharge Promo,Google Ads,Sylhet,86003,2611,589,518,390162.24,20390.8,3842,QR Payment,Existing User
2025-02-27,Bill Pay Campaign,YouTube,Dhaka,133411,2782,440,308,449575.52,30625.84,18547,Send Money,Existing User
2025-02-27,Bill Pay Campaign,Email,Sylhet,46116,2033,472,350,121763.13,1471.78,17589,Mobile Recharge,Student
2025-02-27,Student Recharge Promo,YouTube,Rajshahi,70859,2664,563,344,363129.48,14061.04,17816,QR Payment,Premium User
2025-02-27,App Signup Bonus,Push Notification,Barishal,65158,4864,1440,695,970816.02,1440.99,17552,QR Payment,Existing User
2025-02-28,Bill Pay Campaign,Push Notification,Rangpur,59879,4282,1217,1136,2407011.9,1744.48,5776,Merchant Payment,Merchant
2025-02-28,Cashback Offer,Google Ads,Chattogram,38886,2439,655,599,277812.87,2730.69,34156,Send Money,Existing User
2025-02-28,Merchant Payment Promo,YouTube,Mymensingh,49636,2695,369,293,1217481.13,8008.06,18079,QR Payment,Merchant
2025-03-01,Bill Pay Campaign,Facebook,Mymensingh,34791,473,124,97,148966.58,3595.96,8254,Bill Pay,Merchant
2025-03-01,App Signup Bonus,Google Ads,Chattogram,106006,5104,1035,801,513232.69,9644.07,43808,Mobile Recharge,Student
2025-03-01,QR Payment Campaign,YouTube,Chattogram,42292,1916,382,274,903261.11,11374.32,5881,QR Payment,Premium User
2025-03-02,Eid Offer,Email,Khulna,25078,1261,117,51,155469.22,369.31,14483,Mobile Recharge,Premium User
2025-03-03,Cashback Offer,Push Notification,Sylhet,18600,1063,409,299,217535.89,312.78,37534,Send Money,New User
2025-03-03,Cashback Offer,YouTube,Barishal,59893,1994,527,242,554395.84,6844.06,14591,Bill Pay,Existing User
2025-03-03,Ramadan Campaign,YouTube,Mymensingh,47249,1739,230,137,372493.75,14599.94,21122,Send Money,Existing User
2025-03-03,Ramadan Campaign,Google Ads,Khulna,19715,1012,131,82,103088.33,1492.7,4373,QR Payment,Student
2025-03-04,App Signup Bonus,Push Notification,Mymensingh,24590,2080,473,463,571110.71,749.93,20582,Send Money,Existing User
2025-03-05,QR Payment Campaign,Facebook,Mymensingh,9472,458,102,70,46485.07,780.17,8441,Mobile Recharge,Existing User
2025-03-05,Ramadan Campaign,Facebook,Khulna,51628,2888,611,352,442630.76,9603.91,16114,Merchant Payment,Existing User
2025-03-05,App Signup Bonus,Push Notification,Chattogram,60833,3818,1269,571,636471.28,2432.61,57300,Merchant Payment,New User
2025-03-06,Ramadan Campaign,Email,Chattogram,142225,7112,1653,1416,7418530.97,5166.54,6886,Merchant Payment,Premium User
2025-03-06,Merchant Payment Promo,Facebook,Khulna,44573,1134,231,197,292033.58,4295.97,18786,Send Money,New User
2025-03-07,Merchant Payment Promo,Push Notification,Barishal,41130,3958,1456,989,1800919.78,1295.03,25958,QR Payment,Merchant
2025-03-07,Bill Pay Campaign,Google Ads,Dhaka,20887,1286,187,134,343350.62,5125.63,43210,Merchant Payment,Premium User
2025-03-08,Eid Offer,Email,Chattogram,78383,2291,390,203,1089287.79,2385.54,19453,Merchant Payment,Merchant
2025-03-08,Bill Pay Campaign,Email,Khulna,64599,2601,564,297,111237.99,3311.44,21668,Bill Pay,New User
2025-03-08,App Signup Bonus,SMS,Rangpur,64408,4131,1187,883,438499.41,3256.53,9100,Merchant Payment,Student
2025-03-08,Eid Offer,Facebook,Chattogram,71232,4243,857,487,1327622.06,4774.03,27810,Merchant Payment,Merchant
2025-03-09,Bill Pay Campaign,Facebook,Dhaka,124810,9974,980,700,2920437.85,17643.71,67997,Bill Pay,Merchant
2025-03-09,Merchant Payment Promo,SMS,Rangpur,14242,1322,317,305,398118.55,1027.46,15913,Bill Pay,Existing User
2025-03-09,Ramadan Campaign,Facebook,Rangpur,25959,1387,331,195,505970.05,2642.08,34941,Merchant Payment,Merchant
2025-03-10,Cashback Offer,SMS,Barishal,49754,3729,857,747,788801.12,1773.22,11488,Mobile Recharge,Existing User
2025-03-10,Student Recharge Promo,SMS,Rajshahi,26509,1395,278,99,49400.31,1574.1,14344,Bill Pay,New User
2025-03-10,Bill Pay Campaign,Email,Khulna,8368,130,14,7,7250.36,357.51,5719,Merchant Payment,Student
2025-03-11,QR Payment Campaign,Facebook,Khulna,28433,1470,353,318,239108.67,4448.32,29338,Merchant Payment,Existing User
2025-03-11,Student Recharge Promo,YouTube,Rajshahi,26361,1469,243,137,247764.93,4814.27,24546,Bill Pay,Merchant
2025-03-11,Ramadan Campaign,Email,Khulna,46569,2832,450,288,870897.67,1785.56,41174,Send Money,Existing User
2025-03-11,Bill Pay Campaign,Facebook,Khulna,37105,1991,551,232,270327.94,5158.85,8682,Bill Pay,New User
2025-03-11,Merchant Payment Promo,Google Ads,Khulna,62603,2537,152,105,113511.32,11407.66,32030,Merchant Payment,New User
2025-03-12,App Signup Bonus,SMS,Rajshahi,16967,1174,424,326,368370.26,568.6,3531,Bill Pay,New User
2025-03-12,Student Recharge Promo,Push Notification,Mymensingh,62536,5069,1824,1634,2516933.2,3463.01,20215,Bill Pay,Merchant
2025-03-12,Eid Offer,Google Ads,Chattogram,45312,2820,370,200,475212.68,12102.44,10913,Bill Pay,Merchant
2025-03-12,Eid Offer,Push Notification,Sylhet,22905,1970,662,539,848850.26,392.57,38980,Merchant Payment,Existing User
2025-03-13,Ramadan Campaign,Google Ads,Barishal,28799,2311,132,96,248737.55,5190.6,13776,QR Payment,Premium User
2025-03-13,Merchant Payment Promo,Email,Rangpur,39170,1468,361,215,939884.76,980.79,2550,Mobile Recharge,Merchant
2025-03-13,Merchant Payment Promo,YouTube,Barishal,19912,500,81,52,223433.97,2848.45,2186,Mobile Recharge,Merchant
2025-03-13,Merchant Payment Promo,YouTube,Rangpur,58019,2624,345,308,214824.39,12675.33,2847,Mobile Recharge,Student
2025-03-13,Merchant Payment Promo,Push Notification,Barishal,39226,4073,1412,803,3604234.46,1522.8,21281,QR Payment,Merchant
2025-03-14,QR Payment Campaign,Google Ads,Barishal,38208,1501,246,220,452975.66,3799.6,26655,Merchant Payment,Premium User
2025-03-14,App Signup Bonus,Email,Mymensingh,42502,1310,252,205,186472.42,783.52,8907,Mobile Recharge,Existing User
2025-03-14,QR Payment Campaign,Email,Khulna,75743,2238,258,145,299431.67,3343.1,10094,QR Payment,Existing User
2025-03-14,QR Payment Campaign,SMS,Dhaka,114336,6591,2108,1402,4679379.6,7733.69,56792,Merchant Payment,Premium User
2025-03-14,Student Recharge Promo,YouTube,Mymensingh,19102,915,69,67,116126.67,5387.52,7273,Merchant Payment,Premium User
2025-03-15,Eid Offer,YouTube,Sylhet,51282,2731,710,250,216329.93,13639.47,14086,Mobile Recharge,New User
2025-03-15,QR Payment Campaign,Push Notification,Chattogram,92521,7109,2619,2506,4990504.15,4627.5,32436,Send Money,Existing User
2025-03-15,Ramadan Campaign,YouTube,Rajshahi,7352,312,45,17,23029.65,1533.38,28079,Bill Pay,Student
2025-03-15,QR Payment Campaign,Facebook,Rangpur,17397,1561,330,181,222885.02,2280.08,24496,QR Payment,Premium User
2025-03-15,Merchant Payment Promo,Email,Rangpur,21084,621,123,108,145121.79,1034.13,2406,Mobile Recharge,Existing User
2025-03-15,Bill Pay Campaign,Google Ads,Chattogram,56677,3279,633,597,1415799.38,8618.41,18572,Mobile Recharge,Premium User
2025-03-15,Merchant Payment Promo,Push Notification,Sylhet,40808,2913,603,274,139002.15,2061.75,16113,Bill Pay,Student
2025-03-16,Cashback Offer,SMS,Khulna,67875,3845,1217,794,604147.51,4211.42,28207,QR Payment,Existing User
2025-03-16,Eid Offer,Facebook,Dhaka,78949,3653,651,348,919855.45,6976.91,33760,Send Money,Merchant
2025-03-16,Cashback Offer,SMS,Rajshahi,70338,3929,1305,864,786777.27,7851.62,28347,QR Payment,New User
2025-03-16,Cashback Offer,Google Ads,Chattogram,85342,4232,472,333,910818.85,13642.7,33046,Send Money,Premium User
2025-03-16,App Signup Bonus,Facebook,Barishal,16330,320,70,68,124995.21,2920.24,15189,Mobile Recharge,Premium User
2025-03-17,Merchant Payment Promo,Facebook,Chattogram,84794,4777,1371,1044,2061365.18,10114.38,45901,QR Payment,Merchant
2025-03-17,Eid Offer,Push Notification,Sylhet,25522,1936,657,345,798501.33,407.15,39620,Bill Pay,Premium User
2025-03-17,Student Recharge Promo,SMS,Barishal,4857,299,66,40,81452.87,178.06,19104,Bill Pay,Merchant
2025-03-17,Student Recharge Promo,Facebook,Chattogram,80318,5818,1255,847,1157239.07,5431.01,49152,Send Money,Existing User
2025-03-17,Student Recharge Promo,YouTube,Rangpur,59724,1476,412,276,488033.32,8970.39,8299,Merchant Payment,Premium User
2025-03-18,Merchant Payment Promo,SMS,Sylhet,8425,349,105,75,107304.12,833.5,15740,Send Money,Premium User
2025-03-18,Ramadan Campaign,Google Ads,Chattogram,14387,552,65,27,31528.6,996.59,50888,Bill Pay,New User
2025-03-18,QR Payment Campaign,Google Ads,Dhaka,156432,3570,649,612,2054292.45,21915.89,30207,Bill Pay,Premium User
2025-03-19,Cashback Offer,Email,Dhaka,71133,2202,144,78,111110.88,1945.31,47237,Send Money,Existing User
2025-03-19,App Signup Bonus,Email,Dhaka,170989,3235,550,444,572560.36,2460.96,35888,Mobile Recharge,Merchant
2025-03-19,Bill Pay Campaign,Email,Khulna,56596,2033,484,409,926249.01,1432.02,2724,Merchant Payment,Premium User
2025-03-19,Bill Pay Campaign,Google Ads,Chattogram,80486,3524,772,436,288006.47,21000.98,32344,Mobile Recharge,New User
2025-03-19,Merchant Payment Promo,YouTube,Mymensingh,24990,124,11,6,6939.83,2324.03,13891,Mobile Recharge,New User
2025-03-19,Student Recharge Promo,Google Ads,Rajshahi,63883,2302,677,584,1236689.12,7184.73,25256,QR Payment,Premium User
2025-03-20,App Signup Bonus,SMS,Rajshahi,33516,1853,323,158,116968.06,4116.94,34518,QR Payment,Student
2025-03-20,Ramadan Campaign,YouTube,Sylhet,16046,1002,248,213,234591.91,1834.77,44173,Send Money,Existing User
2025-03-20,Eid Offer,Push Notification,Rangpur,22628,2196,809,527,285018.35,1040.85,21542,QR Payment,New User
2025-03-20,Merchant Payment Promo,YouTube,Barishal,44185,1842,431,280,1210075.21,12871.89,26673,Send Money,Merchant
2025-03-20,QR Payment Campaign,Push Notification,Dhaka,36292,1227,389,369,695746.15,1309.14,36288,Bill Pay,Merchant
2025-03-20,Student Recharge Promo,SMS,Mymensingh,49318,3434,512,288,529341.63,5012.86,30603,Send Money,Premium User
2025-03-21,QR Payment Campaign,YouTube,Chattogram,15063,697,130,85,101082.67,2055.06,26084,Mobile Recharge,Student
2025-03-22,Merchant Payment Promo,SMS,Rangpur,44966,2179,520,232,571835.73,4942.34,20710,Mobile Recharge,Merchant
2025-03-22,Student Recharge Promo,Facebook,Barishal,38293,1699,192,80,33163.64,8157.61,19288,Send Money,New User
2025-03-22,Eid Offer,SMS,Mymensingh,43538,3597,922,774,1403959.68,3667.95,3252,Send Money,Premium User
2025-03-22,Bill Pay Campaign,SMS,Mymensingh,28186,1911,744,666,1090216.92,2823.51,20116,Mobile Recharge,Premium User
2025-03-22,Student Recharge Promo,SMS,Rangpur,15033,770,163,131,76084.72,1148.34,2847,Mobile Recharge,Student
2025-03-22,QR Payment Campaign,YouTube,Dhaka,35206,2276,117,99,78971.58,9678.17,39799,Bill Pay,New User
2025-03-23,Ramadan Campaign,Facebook,Barishal,40195,2206,406,331,1945061.06,4965.51,7798,Send Money,Merchant
2025-03-23,Cashback Offer,YouTube,Chattogram,115027,4412,728,628,1278588.5,21452.68,3646,Mobile Recharge,Merchant
2025-03-23,Ramadan Campaign,Facebook,Rajshahi,52178,2551,503,446,1034453.71,5586.25,21799,Send Money,Premium User
2025-03-23,App Signup Bonus,Facebook,Barishal,60090,4467,1191,871,454430.22,10427.63,27854,Merchant Payment,Existing User
2025-03-23,App Signup Bonus,Email,Sylhet,10388,223,63,25,17718.36,434.67,3455,QR Payment,New User
2025-03-24,Ramadan Campaign,Email,Sylhet,62211,2986,561,310,283435.86,1010.34,45340,QR Payment,Student
2025-03-24,Merchant Payment Promo,SMS,Dhaka,112918,8222,2957,1324,493757.05,14008.09,31356,Mobile Recharge,Student
2025-03-24,Bill Pay Campaign,YouTube,Mymensingh,33385,1608,126,97,48430.06,10521.99,21688,Send Money,New User
2025-03-24,Eid Offer,Facebook,Khulna,6710,420,105,91,211802.28,1137.21,15815,QR Payment,Existing User
2025-03-24,Merchant Payment Promo,Google Ads,Rajshahi,11492,292,53,33,14788.64,2810.12,29604,Send Money,Student
2025-03-24,Merchant Payment Promo,Email,Khulna,14363,392,72,49,61289.41,727.68,20198,Send Money,Student
2025-03-24,Bill Pay Campaign,Facebook,Sylhet,35183,2122,295,281,335764.22,4186.79,25195,Bill Pay,Existing User
2025-03-24,App Signup Bonus,YouTube,Rangpur,37053,626,136,121,116618.13,6808.6,27181,Merchant Payment,New User
2025-03-25,Eid Offer,SMS,Rajshahi,80017,5086,1222,832,4703376.11,7724.15,16137,Send Money,Merchant
2025-03-25,Student Recharge Promo,SMS,Khulna,22153,1820,328,182,126710.53,1596.59,5573,Bill Pay,Existing User
2025-03-25,App Signup Bonus,Facebook,Mymensingh,35624,1952,439,318,566965.82,7376.78,2077,Bill Pay,Premium User
2025-03-25,Bill Pay Campaign,SMS,Sylhet,30362,2724,575,288,862632.08,2197.05,39998,QR Payment,Premium User
2025-03-26,Eid Offer,Email,Mymensingh,63966,3314,462,175,112697.35,1939.75,4584,Merchant Payment,New User
2025-03-26,Ramadan Campaign,Google Ads,Dhaka,30737,1213,146,78,73524.25,3284.76,10840,Send Money,Student
2025-03-26,Student Recharge Promo,Google Ads,Dhaka,121954,6613,1119,1006,322762.04,32425.04,58064,QR Payment,New User
2025-03-26,Eid Offer,SMS,Khulna,29282,2546,713,261,141601.68,1722.51,3157,Merchant Payment,Student
2025-03-27,App Signup Bonus,Google Ads,Sylhet,19439,97,29,20,20419.51,2327.28,6429,Mobile Recharge,New User
2025-03-27,Eid Offer,Push Notification,Chattogram,66344,7370,2266,2194,5313231.81,2943.05,21389,Mobile Recharge,Existing User
2025-03-27,Ramadan Campaign,Email,Chattogram,12329,194,22,16,9657.15,551.32,39394,Merchant Payment,Student
2025-03-27,Bill Pay Campaign,Email,Rangpur,19853,134,10,9,32088.64,947.32,24342,Bill Pay,Premium User
2025-03-27,Cashback Offer,Push Notification,Chattogram,119222,7467,1502,991,2003733.11,2474.22,37338,Bill Pay,Merchant
2025-03-27,Bill Pay Campaign,SMS,Mymensingh,51430,5726,1552,1399,2306462.4,1667.35,22335,Send Money,Existing User
2025-03-27,Bill Pay Campaign,Facebook,Dhaka,49076,2828,627,457,344516.16,6100.31,19033,Send Money,New User
2025-03-27,Student Recharge Promo,Google Ads,Sylhet,22358,1018,160,153,184602.67,4522.05,27269,Mobile Recharge,Existing User
2025-03-27,Cashback Offer,SMS,Rangpur,11808,944,210,173,507355.82,1380.43,23489,Bill Pay,Premium User
2025-03-28,QR Payment Campaign,YouTube,Rangpur,44543,2065,385,174,90881.82,13170.12,2992,Send Money,Student
2025-03-28,Cashback Offer,Google Ads,Rangpur,46518,3083,573,485,950289.49,12204.88,3392,Send Money,Existing User
2025-03-29,Bill Pay Campaign,SMS,Chattogram,62274,2460,496,431,422054.58,5812.91,26288,Merchant Payment,Student
2025-03-29,Merchant Payment Promo,SMS,Barishal,65002,5835,1936,1126,610747.9,6972.58,22775,Bill Pay,Student
2025-03-29,Cashback Offer,Email,Chattogram,31990,1009,176,156,124528.04,895.8,25677,Bill Pay,Existing User
2025-03-29,Bill Pay Campaign,Facebook,Chattogram,81442,4464,590,283,189511.52,5980.44,29744,QR Payment,Existing User
2025-03-29,QR Payment Campaign,Email,Rangpur,65650,2331,551,510,1544885.41,2006.44,13124,QR Payment,Merchant
2025-03-30,Merchant Payment Promo,Google Ads,Dhaka,153142,9286,1765,892,1084986.09,12544.46,36045,Mobile Recharge,Student
2025-03-30,Cashback Offer,Push Notification,Barishal,22687,2602,1030,728,621429.14,429.5,12496,Mobile Recharge,New User
2025-03-30,QR Payment Campaign,SMS,Sylhet,20375,1585,430,286,179306.37,2109.33,20992,Merchant Payment,Student
2025-03-31,App Signup Bonus,Google Ads,Barishal,32816,1390,405,301,698472.11,4465.92,7041,QR Payment,Premium User
2025-03-31,QR Payment Campaign,Push Notification,Barishal,10790,1041,408,198,136220.09,290.02,15051,Mobile Recharge,New User
2025-03-31,Student Recharge Promo,Push Notification,Dhaka,69209,5801,1333,1127,1217143.56,2266.44,2661,QR Payment,Existing User
2025-03-31,App Signup Bonus,SMS,Barishal,7764,368,95,79,43373.19,490.44,22804,Mobile Recharge,Student
2025-03-31,Merchant Payment Promo,Email,Rajshahi,33309,723,58,52,104140.27,1465.71,16533,Bill Pay,Existing User
2025-03-31,App Signup Bonus,Facebook,Sylhet,26954,978,227,211,244236.16,1555.77,37026,Bill Pay,Existing User
2025-04-01,App Signup Bonus,Facebook,Rangpur,33682,2049,480,365,180019.32,5406.23,15566,Bill Pay,New User
2025-04-01,QR Payment Campaign,Email,Mymensingh,44015,613,99,54,225852.21,639.33,25879,Bill Pay,Merchant
2025-04-01,QR Payment Campaign,Push Notification,Chattogram,100810,8867,2638,1204,1685157.91,2334.88,26654,Mobile Recharge,Existing User
2025-04-02,Cashback Offer,SMS,Mymensingh,27968,2737,425,230,1101051.76,3511.91,12911,Mobile Recharge,Merchant
2025-04-02,Bill Pay Campaign,Push Notification,Chattogram,78888,8684,3222,2551,618852.16,2431.64,57402,Send Money,Student
2025-04-02,Bill Pay Campaign,Email,Sylhet,55226,2054,181,83,44309.94,1047.39,5023,Send Money,Existing User
2025-04-02,Bill Pay Campaign,Facebook,Mymensingh,62778,4954,644,607,981783.92,8886.39,28347,Mobile Recharge,Premium User
2025-04-03,Bill Pay Campaign,Facebook,Mymensingh,7194,417,97,77,82373.63,1530.51,31620,Send Money,Merchant
2025-04-03,Cashback Offer,YouTube,Mymensingh,11206,243,56,40,57080.04,1945.96,29706,Bill Pay,New User
2025-04-03,App Signup Bonus,Push Notification,Chattogram,67515,5309,1485,855,2243255.54,2946.88,20070,QR Payment,Merchant
2025-04-04,QR Payment Campaign,SMS,Barishal,51358,2503,763,406,409885.36,4791.63,13938,Mobile Recharge,Student
2025-04-04,Student Recharge Promo,YouTube,Sylhet,63244,1573,376,304,264294.84,18664.64,3799,Bill Pay,Premium User
2025-04-04,Merchant Payment Promo,Google Ads,Barishal,21807,1110,262,135,255291.83,5169.46,11047,Send Money,Premium User
2025-04-04,Student Recharge Promo,SMS,Rajshahi,43670,2339,617,302,63043.95,1889.1,26783,Mobile Recharge,Student
2025-04-05,Bill Pay Campaign,Facebook,Barishal,7534,468,84,71,26445.64,915.74,10369,Merchant Payment,New User
2025-04-05,Student Recharge Promo,Email,Barishal,19523,597,78,38,29447.96,941.56,19606,QR Payment,New User
2025-04-05,Ramadan Campaign,Facebook,Khulna,43599,1587,289,130,277502.37,3055.12,36607,Merchant Payment,Existing User
2025-04-06,Eid Offer,Push Notification,Dhaka,107178,11590,1833,1333,7840119.01,3792.87,86033,Send Money,Merchant
2025-04-06,Bill Pay Campaign,SMS,Chattogram,76756,4107,1059,563,993418.88,2580.63,6715,Mobile Recharge,Existing User
2025-04-06,App Signup Bonus,Push Notification,Khulna,11342,978,303,254,402076.09,683.2,13175,QR Payment,Existing User
2025-04-06,QR Payment Campaign,Email,Mymensingh,24050,902,182,65,33463.98,710.8,22460,QR Payment,New User
2025-04-07,Bill Pay Campaign,Email,Rajshahi,55575,1397,117,83,120029.2,1334.18,29633,QR Payment,New User
2025-04-07,QR Payment Campaign,Push Notification,Rajshahi,36242,3520,1171,904,1015327.65,1148.34,13879,QR Payment,Student
2025-04-07,Bill Pay Campaign,SMS,Rajshahi,90482,5986,1850,1432,1204988.58,5798.06,17573,Mobile Recharge,Existing User
2025-04-07,Student Recharge Promo,Push Notification,Mymensingh,21152,1447,353,302,139127.3,842.72,5203,Send Money,Existing User
2025-04-07,Merchant Payment Promo,Facebook,Barishal,18011,1516,201,131,53750.96,2009.22,9503,Bill Pay,New User
2025-04-07,Ramadan Campaign,SMS,Rangpur,48985,3279,900,715,861982.95,1845.33,25081,Send Money,Student
2025-04-08,App Signup Bonus,Email,Rajshahi,77484,2167,377,296,494277.02,3133.63,8302,Merchant Payment,Premium User
2025-04-08,Eid Offer,YouTube,Barishal,56657,3527,756,442,1104307.97,13310.26,24393,Mobile Recharge,Existing User
2025-04-09,App Signup Bonus,Google Ads,Sylhet,18841,386,69,44,37980.35,4615.47,11256,Bill Pay,New User
2025-04-09,App Signup Bonus,Facebook,Rangpur,38344,1863,352,162,67856.83,8000.91,25864,Bill Pay,New User
2025-04-09,Ramadan Campaign,Google Ads,Rajshahi,17759,867,111,103,448921.91,4373.66,40478,Mobile Recharge,Merchant
2025-04-09,Bill Pay Campaign,Push Notification,Barishal,55681,5434,1493,971,749447.35,2090.31,13893,Merchant Payment,Existing User
2025-04-09,Eid Offer,Push Notification,Mymensingh,17528,1925,534,379,1739060.54,475.94,23978,Merchant Payment,Premium User
2025-04-09,Ramadan Campaign,YouTube,Rangpur,56573,3432,778,327,1079860.1,12372.77,24624,Bill Pay,Merchant
2025-04-10,Bill Pay Campaign,YouTube,Rajshahi,46515,2048,174,111,41088.74,9794.06,16871,Merchant Payment,New User
2025-04-10,Eid Offer,SMS,Rajshahi,54979,4766,1251,695,1039773.39,2009.28,34290,QR Payment,Student
2025-04-10,Eid Offer,SMS,Rangpur,10796,909,316,155,531685.75,526.14,28538,Bill Pay,Premium User
2025-04-11,App Signup Bonus,Google Ads,Dhaka,68986,1993,220,78,32238.25,15258.54,56501,Send Money,Student
2025-04-11,App Signup Bonus,YouTube,Rajshahi,29138,720,21,14,7840.8,6455.63,24008,Bill Pay,New User
2025-04-11,Cashback Offer,Google Ads,Khulna,19873,965,168,145,111585.19,2307.86,26498,Send Money,New User
2025-04-11,QR Payment Campaign,SMS,Rangpur,15378,1387,431,395,1215078.14,1864.33,7431,Mobile Recharge,Premium User
2025-04-12,Ramadan Campaign,Facebook,Dhaka,116801,6710,1133,1103,1919247.19,16748.01,69401,Bill Pay,Premium User
2025-04-12,App Signup Bonus,Push Notification,Sylhet,40167,2519,824,517,420737.11,2478.43,31393,Merchant Payment,Premium User
2025-04-12,Student Recharge Promo,Push Notification,Dhaka,17157,1144,347,291,166753.96,474.78,50943,Bill Pay,Student
2025-04-12,App Signup Bonus,Facebook,Khulna,51854,2792,584,329,702897.98,5332.53,8270,Merchant Payment,Premium User
2025-04-12,App Signup Bonus,Google Ads,Sylhet,5858,312,70,67,175352.67,667.92,17919,Merchant Payment,Premium User
2025-04-12,Ramadan Campaign,Push Notification,Mymensingh,18594,1373,451,389,156910.32,1044.82,13047,Send Money,Student
2025-04-13,Bill Pay Campaign,Google Ads,Mymensingh,63366,316,78,32,42174.83,5120.86,25109,Bill Pay,New User
2025-04-13,App Signup Bonus,Email,Khulna,25762,759,83,41,85707.35,943.17,29558,Merchant Payment,Merchant
2025-04-13,QR Payment Campaign,Push Notification,Khulna,61937,3548,935,745,1090701.12,2436.44,32937,QR Payment,Premium User
2025-04-13,Merchant Payment Promo,Facebook,Rangpur,42127,2357,488,428,234601.44,7976.01,10524,Send Money,New User
2025-04-13,Bill Pay Campaign,Email,Rangpur,10727,307,42,26,19256.75,361.06,25305,Bill Pay,New User
2025-04-14,QR Payment Campaign,SMS,Rangpur,60853,3342,1302,679,1175085.07,2280.43,16516,Send Money,Merchant
2025-04-14,Student Recharge Promo,YouTube,Chattogram,55039,1780,400,361,891349.48,14057.11,12352,Merchant Payment,Premium User
2025-04-14,Ramadan Campaign,Facebook,Rangpur,66244,4763,753,428,681110.25,6274.32,25174,Mobile Recharge,Merchant
2025-04-14,Cashback Offer,SMS,Khulna,16831,1436,270,126,258746.27,789.44,15488,Mobile Recharge,Existing User
2025-04-14,Merchant Payment Promo,Email,Chattogram,56248,3372,453,354,346454.13,1173.24,15626,Bill Pay,Student
2025-04-14,Ramadan Campaign,SMS,Khulna,40354,2221,536,358,303307.36,2304.45,3581,Send Money,Student
2025-04-15,QR Payment Campaign,Facebook,Rajshahi,37271,2261,504,373,327180.24,4864.37,26765,QR Payment,Existing User
2025-04-15,Ramadan Campaign,Push Notification,Dhaka,92168,10438,2459,1520,1856256.09,4180.18,79988,Mobile Recharge,Student
2025-04-15,Student Recharge Promo,Push Notification,Chattogram,99351,8151,3196,1770,453144.09,1619.69,46711,QR Payment,New User
2025-04-16,App Signup Bonus,Facebook,Barishal,58516,2523,715,418,1075284.73,12501.89,5989,Bill Pay,Premium User
2025-04-16,Bill Pay Campaign,YouTube,Khulna,16908,445,98,69,28989.56,3605.17,13782,Mobile Recharge,New User
2025-04-16,Cashback Offer,Push Notification,Rangpur,4363,513,170,155,587969.33,89.97,18697,Send Money,Premium User
2025-04-16,App Signup Bonus,Email,Khulna,37579,1994,375,300,204889.82,1285.18,22261,QR Payment,Existing User
2025-04-16,QR Payment Campaign,Push Notification,Sylhet,36533,2444,721,477,217604.15,993.12,5928,Send Money,Student
2025-04-17,Ramadan Campaign,SMS,Barishal,48022,3097,1133,520,487009.13,3795.09,20815,Bill Pay,New User
2025-04-17,Merchant Payment Promo,Facebook,Rangpur,57995,3540,324,306,664870.39,9201.82,23135,Merchant Payment,Existing User
2025-04-17,QR Payment Campaign,SMS,Rajshahi,16880,1205,370,140,99983.97,610.12,21667,Merchant Payment,Student
2025-04-18,Eid Offer,Facebook,Khulna,24133,991,239,208,508293.05,2216.69,36009,Send Money,New User
2025-04-19,App Signup Bonus,YouTube,Khulna,65917,1863,304,117,23669.62,14211.9,16179,Bill Pay,Student
2025-04-19,Bill Pay Campaign,Push Notification,Rangpur,9225,761,238,167,221004.46,227.87,11019,Bill Pay,Premium User
2025-04-19,Bill Pay Campaign,Email,Dhaka,77578,2049,322,184,315717.4,2074.89,39900,Bill Pay,Premium User
